muni,restrict_sf_permit,restrict_mf_permit,limit_sf_units,limit_mf_units,limit_mf_dwellings,limit_mf_dwelling_units,min_lot_size,max_density,open_space,inclusionary,council_nz,planning_nz,countybrd_nz,pubhlth_nz,site_plan_nz,env_rev_nz,council_rz,planning_rz,zoning_rz,countybrd_rz,countyzone_rz,townmeet_rz,env_rev_rz,adu,half_acre_less,half_acre_more,one_acre_more,two_acre_more,max_den_cat1,max_den_cat2,max_den_cat3,max_den_cat4,max_den_cat5,height_ft_median,height_ft_mode,height_st_median,height_st_mode,parking_median,parking_mode,mf per,timestamp
TN_Jonesborough,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0.0,1.0,0.0,1.0,0.0,0.0,25.0,20.0,,,2.0,2.0,0.5714285714285714,2024-06-28 17:01:21
TN_Millersville,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0.0,1.0,1.0,1.0,0.0,0.0,35.0,35.0,2.0,2.0,2.0,1.0,0.4,2024-06-28 17:01:00
TX_Fredericksburg,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0.0,1.0,1.0,1.0,0.0,1.0,25.0,15.0,2.0,2.0,2.0,2.0,0.4,2024-06-28 16:58:14
TX_MountPleasant,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0.0,1.0,1.0,0.0,1.0,0.0,50.0,75.0,,,2.0,2.0,0.4285714285714285,2024-06-28 16:56:28
TX_Seguin,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.0,32.5,35.0,10.5,10.5,2.0,2.0,0.5454545454545454,2024-06-28 16:54:47
WA_Chehalis,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1.0,1.0,1.0,1.0,0.0,0.0,55.0,80.0,,,3.0,6.0,0.0,2024-06-28 16:49:39
WA_Woodinville,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0.0,1.0,1.0,1.0,1.0,1.0,35.0,35.0,,,1.0,1.0,0.4,2024-06-28 16:47:40
WI_McFarland,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0.0,1.0,1.0,1.0,1.0,1.0,35.0,35.0,2.0,1.0,2.0,2.0,0.125,2024-06-28 16:45:13
WI_Monona,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0.0,1.0,1.0,0.0,0.0,0.0,35.0,35.0,,,0.284,0.284,0.25,2024-06-28 16:44:57
WI_Shawano,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0.0,1.0,1.0,1.0,0.0,1.0,35.0,35.0,1.0,1.0,1.0,1.0,0.3846153846153846,2024-06-28 16:43:50
