"","GEOID","statename","place","type","restrict_sf_permit","restrict_mf_permit","limit_sf_units","limit_mf_units","limit_mf_dwellings","limit_mf_dwelling_units","min_lot_size","open_space","inclusionary","half_acre_less","half_acre_more","one_acre_more","two_acre_more","max_den_cat1","max_den_cat2","max_den_cat3","max_den_cat4","max_den_cat5","council_nz","planning_nz","countybrd_nz","pubhlth_nz","site_plan_nz","env_rev_nz","council_rz","planning_rz","zoning_rz","countybrd_rz","countyzone_rz","townmeet_rz","env_rev_rz","total_nz","total_rz","adu","height_ft_median","height_ft_mode","height_st_median","height_st_mode","parking_median","parking_mode","mf_per","timestamp.x","maxden5","maxden4","maxden3","maxden2","maxden1","sindex1","sindex2","sindex3","sindex4","sindex5","sindex6","sindex7","sindex8","height_st_median_sc","height_st_mode_sc","sindex9","sindex10","sindex11","sindex9_st","sindex10_st","zri","zri_st","add_index","zri_up","zri_up_st","wt_all_2019","st_wt_all_2019","wt_msa_2019","st_wt_msa_2019","wt_lmsa_2019","st_wt_lmsa_2019","timestamp.y"
"536","1351072","GA","Metter","City",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,0,35,35,3,3,1.75,2,0.2,"7/16/2019 14:40",1,0,0,0,0,0,0,4,2,3,1,0,0,42,42,35,1.75,0.2,0.0490862965607648,-0.0970030603290884,2.48223948096506,0.550646084316381,10,1.57295722758197,0.0231628964194134,8.97688892897764,0.567588525649815,NA,NA,NA,NA,"7/16/2019 14:40"
"537","1351492","GA","Milledgeville","City",0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,3,0,NA,NA,NA,NA,NA,NA,NA,"7/16/2019 14:40",0,0,0,0,1,0,0,3,1,3,5,0,0,NA,NA,NA,NA,NA,NA,NA,0.313827631349378,-1.75281199017614,12,NA,NA,5.68199730688958,0.359259928431684,NA,NA,NA,NA,"7/16/2019 14:40"
"538","1353060","GA","Moultrie","City",0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,0,20,20,14,3,2,1,0.333333333333333,"11/18/2019 22:19",0,1,0,0,0,0,1,4,2,3,2,1,0,196,42,20,2,0.333333333333333,-1.1406543072801,0.164805905663859,3.12813125020372,1.23676325867361,13,2.24940334915504,0.79521540973524,7.24715043441658,0.45822104548434,NA,NA,NA,NA,"11/18/2019 22:19"
"539","1355020","GA","Newnan","City",0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,1,35,35,3,3,2,1,0.5,"12/1/2021 9:02",1,0,0,0,0,0,1,3,2,3,1,1,1,42,42,35,2,0.5,0.0490862965607648,0.164805905663859,3.08102255743931,1.18672069007845,12,2.71410727223693,1.32559886574318,5.61892925848077,0.35527227737627,5.44225400007425,0.616962326029639,3.25234425426675,0.707031359623206,"12/1/2021 9:02"
"540","1359724","GA","Peachtree","City",0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,2,2,1,35,35,2,2,2,2,0.178571428571429,"7/16/2019 14:40",1,0,0,0,0,0,1,3,2,2,1,0,1,28,28,35,2,0.178571428571429,0.0490862965607648,0.164805905663859,2.44999611114505,0.516394634079231,10,2.15708548271092,0.689849677655367,6.15629787484358,0.389248888104658,5.38605287741898,0.610591073354111,3.98378655525117,0.866040555489385,"7/16/2019 14:40"
"541","1360340","GA","Perry","City",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,2,2,0,48,60,4,5,2,1,0.3,"10/4/2021 21:57",0,1,0,0,0,0,0,4,2,2,2,0,0,56,70,48,2,0.3,1.08019481988951,0.164805905663859,1.9815320145386,0.0187551261005172,10,1.29741303259143,-0.291325695483993,11.3906205922942,0.720203357685187,9.1234105944032,1.03427745591618,NA,NA,"10/4/2021 21:57"
"542","1362328","GA","PortWentworth","City",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,2,2,0,40,40,NA,NA,1.5,1,0.5,"11/18/2019 23:21",1,0,0,0,0,0,0,2,2,2,1,0,0,NA,NA,40,1.5,0.5,0.445666497841052,-0.358812026322036,1.54222222870234,-0.447914373776761,7,1.01301090365686,-0.61592416893771,7.09744632465364,0.448755590846733,5.51429489536028,0.625129258025889,NA,NA,"11/18/2019 23:21"
"543","1362524","GA","PowderSprings","City",0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,2,2,1,27.5,35,2,2,1,1,0.2,"12/1/2021 10:04",0,1,0,0,0,0,1,2,2,2,2,0,1,28,28,27.5,1,0.2,-0.545784005359665,-0.88242995830793,1.71270261776574,-0.266816659889836,10,1.66054315095317,0.12312789010223,13.5088047260004,0.854131383197928,8.89574166030188,1.00846771694664,4.22678806147649,0.918866969886194,"12/1/2021 10:04"
"544","1366276","GA","Rockmart","City",0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,0,23,23,8.75,15.5,2,2,0.0833333333333333,"6/5/2019 0:46",0,0,0,1,0,0,1,1,2,3,4,0,0,122.5,217,23,2,0.0833333333333333,-0.902706186511923,0.164805905663859,0.785931790197999,-1.25130572101694,11,0.239058138668748,-1.49926455384116,11.8223702626969,0.747501919671695,NA,NA,NA,NA,"6/5/2019 0:46"
"545","1367256","GA","Rossville","City",0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,3,1,25,10,1.5,1,2,2,0.2,"1/4/2022 21:20",1,0,0,0,0,0,1,4,1,3,1,0,1,21,14,25,2,0.2,-0.744074105999809,0.164805905663859,2.60197111502188,0.677834468427659,11,2.20425490012576,0.743685845984758,14.5800139983176,0.921861539641579,11.3326472616995,1.28472805836629,NA,NA,"1/4/2022 21:20"
