muni,restrict_sf_permit,restrict_mf_permit,limit_sf_units,limit_mf_units,limit_mf_dwellings,limit_mf_dwelling_units,min_lot_size,max_density,open_space,inclusionary,council_nz,planning_nz,countybrd_nz,pubhlth_nz,site_plan_nz,env_rev_nz,council_rz,planning_rz,zoning_rz,countybrd_rz,countyzone_rz,townmeet_rz,env_rev_rz,adu,half_acre_less,half_acre_more,one_acre_more,two_acre_more,max_den_cat1,max_den_cat2,max_den_cat3,max_den_cat4,max_den_cat5,height_ft_median,height_ft_mode,height_st_median,height_st_mode,parking_median,parking_mode,mf per,last_date,timestamp
NJ_UnionCity,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,20,20,2.5,4,1,1,0.666666667,42552,4/27/2022 10:22
NJ_Vernon,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,35,35,2,2,1.85,2,0,43684,4/27/2022 10:22
NJ_Verona,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,33.5,32,1,1,2,2,0.461538462,43465,4/27/2022 10:22
NJ_Vineland,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,35,50,2.5,2.5,2,2,0.090909091,43690,4/27/2022 10:22
NJ_Waldwick,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,10,10,1,1,1,1,0.5,43690,4/27/2022 10:22
NJ_Wall,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,35,35,2,2,2,2,0.333333333,43579,10/21/2022 2:03
NJ_Washington,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,35,35,2.25,2,2,2,0,43661,4/27/2022 10:22
NJ_Waterford,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,35,35,,,2,2,0,43579,4/27/2022 10:22
NJ_WestMilford,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,35,35,2,2,2,2,0.2,43691,4/27/2022 10:22
NJ_WestWindsor,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,40,35,3,3,1,1,0.333333333,43696,4/27/2022 10:22
NJ_Westampton,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,35,35,2,3,1.5,1,0.333333333,43634,4/27/2022 10:22
NJ_Woolwich,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,40,60,1,1,2,1,0.2,43661,4/27/2022 10:22
NM_Albuquerque,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,30,65,2,2,2,1,0.666666667,43677,4/27/2022 10:22
NM_Belen,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,45,45,,,2,2,0.333333333,43347,4/27/2022 10:22
NM_BosqueFarms,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,23,26,,,1,1,0.25,43647,4/27/2022 10:22
NM_Clovis,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,32.5,40,,,2,2,0.5,43272,4/27/2022 10:22
NM_Deming,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,35,35,2.5,2,1,1,0.111111111,43652,4/27/2022 10:22
NM_Española,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,12,12,,,1,1,0.111111111,42401,4/27/2022 10:22
NM_Farmington,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,28,35,10.5,10.5,2,2,0.272727273,43435,4/27/2022 10:22
NM_LosLunas,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,10,10,,,1.5,2,0.333333333,43349,4/27/2022 10:22
NM_Roswell,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,30,30,1.75,0.5,1.5,1,0.083333333,43483,4/27/2022 10:22
NM_SantaFe,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,25,36,2,2,2,2,0.333333333,43831,4/27/2022 10:22
NM_Socorro,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,26,26,,,1,2,0.384615385,44026,4/27/2022 10:22
NM_TruthorConsequences,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,15,15,3,3,1.5,2,0.285714286,42879,4/27/2022 10:22
NM_Tucumari,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,40.5,35,,,1,0.5,0.333333333,42552,4/27/2022 10:22
NM_Tularosa,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,35,35,,,1.5,1.5,0.166666667,41598,4/27/2022 10:22
NV_CarsonCity,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,20,20,1.5,1,2,2,0.294117647,44378,4/27/2022 10:22
NV_Elko,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,35,35,1,1,2,2,0.5,43652,4/27/2022 10:22
NV_Henderson,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,35,35,2,2,1,1,0.545454545,43620,4/27/2022 10:22
